1,2,3,BIO
61225,Sentence: 2005,ㅋ,O
61226,Sentence: 2005,ㅋ,O
61227,Sentence: 2005,ㅋ,O
61228,Sentence: 2005,ㅋ,O
61229,Sentence: 2006,똑,O
61230,Sentence: 2006,같,O
61231,Sentence: 2006,은,O
61232,Sentence: 2006,쓰,O
61233,Sentence: 2006,레,O
61234,Sentence: 2006,기,O
61235,Sentence: 2006,끼,O
61236,Sentence: 2006,리,O
61237,Sentence: 2006,ㅋ,O
61238,Sentence: 2006,ㅋ,O
61239,Sentence: 2006,ㅋ,O
61240,Sentence: 2006,ㅋ,O
61241,Sentence: 2006,ㅋ,O
61242,Sentence: 2006,ㅋ,O
61243,Sentence: 2006,ㅋ,O
61244,Sentence: 2006,ㅋ,O
61245,Sentence: 2006,ㅋ,O
61246,Sentence: 2006,ㅋ,O
61247,Sentence: 2006,ㅋ,O
61248,Sentence: 2006,ㅋ,O
61249,Sentence: 2006,ㅋ,O
61250,Sentence: 2007,반,O
61251,Sentence: 2007,일,O
61252,Sentence: 2007,반,O
61253,Sentence: 2007,미,O
61254,Sentence: 2007,친,O
61255,Sentence: 2007,중,O
61256,Sentence: 2007,친,O
61257,Sentence: 2007,북,O
61258,Sentence: 2007,이,O
61259,Sentence: 2007,공,O
61260,Sentence: 2007,식,O
61261,Sentence: 2007,은,O
61262,Sentence: 2007,불,O
61263,Sentence: 2007,변,O
61264,Sentence: 2007,의,O
61265,Sentence: 2007,법,O
61266,Sentence: 2007,칙,O
61267,Sentence: 2008,스,O
61268,Sentence: 2008,벅,O
61269,Sentence: 2008,불,O
61270,Sentence: 2008,매,O
61271,Sentence: 2008,틀,O
61272,Sentence: 2008,리,O
61273,Sentence: 2008,앙,O
61274,Sentence: 2008,보,O
61275,Sentence: 2008,배,O
61276,Sentence: 2008,아,O
61277,Sentence: 2008,조,O
61278,Sentence: 2008,씨,O
61279,Sentence: 2008,가,O
61280,Sentence: 2008,돈,O
61281,Sentence: 2008,을,O
61282,Sentence: 2008,벌,O
61283,Sentence: 2008,어,O
61284,Sentence: 2008,옴,O
61285,Sentence: 2008,퐁,O
61286,Sentence: 2008,퐁,O
61287,Sentence: 2008,부,O
61288,Sentence: 2008,인,O
61289,Sentence: 2008,들,O
61290,Sentence: 2008,이,O
61291,Sentence: 2008,아,O
61292,Sentence: 2008,조,O
61293,Sentence: 2008,씨,O
61294,Sentence: 2008,들,O
61295,Sentence: 2008,돈,O
61296,Sentence: 2008,으,O
61297,Sentence: 2008,로,O
61298,Sentence: 2008,스,O
61299,Sentence: 2008,타,O
61300,Sentence: 2008,벅,O
61301,Sentence: 2008,스,O
61302,Sentence: 2008,매,O
61303,Sentence: 2008,일,O
61304,Sentence: 2008,출,O
61305,Sentence: 2008,근,O
61306,Sentence: 2008,도,O
61307,Sentence: 2008,장,O
61308,Sentence: 2008,찍,O
61309,Sentence: 2008,음,O
61310,Sentence: 2008,정,O
61311,Sentence: 2008,용,O
61312,Sentence: 2008,진,O
61313,Sentence: 2008,은,O
61314,Sentence: 2008,망,O
61315,Sentence: 2008,할,O
61316,Sentence: 2008,래,O
61317,Sentence: 2008,야,O
61318,Sentence: 2008,망,O
61319,Sentence: 2008,할,O
61320,Sentence: 2008,수,O
61321,Sentence: 2008,가,O
61322,Sentence: 2008,없,O
61323,Sentence: 2008,음,O
61324,Sentence: 2009,틀,O
61325,Sentence: 2009,딱,O
61326,Sentence: 2009,들,O
61327,Sentence: 2009,아,O
61328,Sentence: 2009,무,O
61329,Sentence: 2009,튼,O
61330,Sentence: 2009,시,O
61331,Sentence: 2009,발,O
61332,Sentence: 2009,ㅋ,O
61333,Sentence: 2009,ㅋ,O
61334,Sentence: 2009,ㅋ,O
61335,Sentence: 2009,ㅋ,O
61336,Sentence: 2009,ㅋ,O
61337,Sentence: 2009,ㅋ,O
61338,Sentence: 2009,ㅋ,O
61339,Sentence: 2009,입,O
61340,Sentence: 2009,만,O
61341,Sentence: 2009,살,O
61342,Sentence: 2009,아,O
61343,Sentence: 2009,서,O
61344,Sentence: 2009,ㅋ,O
61345,Sentence: 2009,ㅋ,O
61346,Sentence: 2009,ㅋ,O
61347,Sentence: 2010,멸,O
61348,Sentence: 2010,공,O
61349,Sentence: 2010,외,O
61350,Sentence: 2010,쳤,O
61351,Sentence: 2010,으,O
61352,Sentence: 2010,니,O
61353,Sentence: 2010,불,O
61354,Sentence: 2010,매,O
61355,Sentence: 2010,하,O
61356,Sentence: 2010,자,O
61357,Sentence: 2010,는,O
61358,Sentence: 2010,것,O
61359,Sentence: 2010,부,O
61360,Sentence: 2010,터,O
61361,Sentence: 2010,가,O
61362,Sentence: 2010,코,O
61363,Sentence: 2010,메,O
61364,Sentence: 2010,디,O
61365,Sentence: 2010,ㅋ,O
61366,Sentence: 2010,ㅋ,O
61367,Sentence: 2010,ㅋ,O
61368,Sentence: 2011,오,O
61369,Sentence: 2011,늘,O
61370,Sentence: 2011,도,O
61371,Sentence: 2011,스,O
61372,Sentence: 2011,벅,O
61373,Sentence: 2011,가,O
61374,Sentence: 2011,보,O
61375,Sentence: 2011,니,O
61376,Sentence: 2011,뷰,B
61377,Sentence: 2011,지,I
61378,Sentence: 2011,들,O
61379,Sentence: 2011,로,O
61380,Sentence: 2011,드,O
61381,Sentence: 2011,글,O
61382,Sentence: 2011,드,O
61383,Sentence: 2011,글,O
61384,Sentence: 2011,하,O
61385,Sentence: 2011,더,O
61386,Sentence: 2011,만,O
61387,Sentence: 2011,ㅋ,O
61388,Sentence: 2011,ㅋ,O
61389,Sentence: 2011,ㅋ,O
61390,Sentence: 2011,ㅋ,O
61391,Sentence: 2011,ㅋ,O
61392,Sentence: 2011,ㅋ,O
61393,Sentence: 2011,ㅋ,O
61394,Sentence: 2011,ㅋ,O
61395,Sentence: 2011,ㅋ,O
61396,Sentence: 2011,ㅋ,O
61397,Sentence: 2011,ㅋ,O
61398,Sentence: 2011,ㅋ,O
61399,Sentence: 2012,트,O
61400,Sentence: 2012,와,O
61401,Sentence: 2012,이,O
61402,Sentence: 2012,스,O
61403,Sentence: 2012,사,O
61404,Sentence: 2012,나,O
61405,Sentence: 2012,픽,O
61406,Sentence: 2012,스,O
61407,Sentence: 2012,타,O
61408,Sentence: 2012,벅,O
61409,Sentence: 2012,스,O
61410,Sentence: 2012,자,O
61411,Sentence: 2012,허,O
61412,Sentence: 2012,블,O
61413,Sentence: 2012,많,O
61414,Sentence: 2012,이,O
61415,Sentence: 2012,사,O
61416,Sentence: 2012,랑,O
61417,Sentence: 2012,해,O
61418,Sentence: 2012,주,O
61419,Sentence: 2012,세,O
61420,Sentence: 2012,요,O
61421,Sentence: 2013,불,O
61422,Sentence: 2013,매,O
61423,Sentence: 2013,재,O
61424,Sentence: 2013,료,O
61425,Sentence: 2013,소,O
61426,Sentence: 2013,진,O
61427,Sentence: 2013,으,O
61428,Sentence: 2013,로,O
61429,Sentence: 2013,마,O
61430,Sentence: 2013,감,O
61431,Sentence: 2013,합,O
61432,Sentence: 2013,니,O
61433,Sentence: 2013,다,O
61434,Sentence: 2014,개,O
61435,Sentence: 2014,가,O
61436,Sentence: 2014,똥,O
61437,Sentence: 2014,을,O
61438,Sentence: 2014,끊,O
61439,Sentence: 2014,지,O
61440,Sentence: 2014,여,O
61441,Sentence: 2014,자,O
61442,Sentence: 2014,가,O
61443,Sentence: 2014,스,O
61444,Sentence: 2014,벅,O
61445,Sentence: 2014,을,O
61446,Sentence: 2014,끊,O
61447,Sentence: 2014,겠,O
61448,Sentence: 2014,냐,O
61449,Sentence: 2015,지,O
61450,Sentence: 2015,들,O
61451,Sentence: 2015,이,O
61452,Sentence: 2015,만,O
61453,Sentence: 2015,들,O
61454,Sentence: 2015,어,O
61455,Sentence: 2015,낸,O
61456,Sentence: 2015,허,B
61457,Sentence: 2015,벌,I
61458,Sentence: 2015,애,B
61459,Sentence: 2015,미,I
61460,Sentence: 2015,뒤,B
61461,Sentence: 2015,진,I
61462,Sentence: 2015,븅,B
61463,Sentence: 2015,신,I
61464,Sentence: 2015,같,O
61465,Sentence: 2015,은,O
61466,Sentence: 2015,불,O
61467,Sentence: 2015,매,O
61468,Sentence: 2015,운,O
61469,Sentence: 2015,동,O
61470,Sentence: 2015,동,O
61471,Sentence: 2015,조,O
61472,Sentence: 2015,안,O
61473,Sentence: 2015,해,O
61474,Sentence: 2015,주,O
61475,Sentence: 2015,면,O
61476,Sentence: 2015,쌍,O
61477,Sentence: 2015,욕,O
61478,Sentence: 2015,부,O
61479,Sentence: 2015,터,O
61480,Sentence: 2015,처,B
61481,Sentence: 2015,박,O
61482,Sentence: 2015,고,O
61483,Sentence: 2015,보,O
61484,Sentence: 2015,는,O
61485,Sentence: 2015,4,O
61486,Sentence: 2015,0,O
61487,Sentence: 2015,5,O
61488,Sentence: 2015,0,O
61489,Sentence: 2015,병,B
61490,Sentence: 2015,신,I
61491,Sentence: 2015,틀,B
61492,Sentence: 2015,니,I
61493,Sentence: 2015,남,I
61494,Sentence: 2015,들,O
61495,Sentence: 2015,ㅋ,O
61496,Sentence: 2015,ㅋ,O
61497,Sentence: 2015,ㅋ,O
61498,Sentence: 2015,ㅋ,O
61499,Sentence: 2015,ㅋ,O
61500,Sentence: 2015,ㅋ,O
61501,Sentence: 2015,ㅋ,O
61502,Sentence: 2015,ㅋ,O
61503,Sentence: 2015,ㅋ,O
61504,Sentence: 2015,ㅋ,O
61505,Sentence: 2015,ㅋ,O
61506,Sentence: 2015,ㅋ,O
61507,Sentence: 2015,ㅋ,O
61508,Sentence: 2016,멸,O
61509,Sentence: 2016,공,O
61510,Sentence: 2016,이,O
61511,Sentence: 2016,면,O
61512,Sentence: 2016,애,O
61513,Sentence: 2016,국,O
61514,Sentence: 2016,기,O
61515,Sentence: 2016,업,O
61516,Sentence: 2016,아,O
61517,Sentence: 2016,니,O
61518,Sentence: 2016,야,O
61519,Sentence: 2016,근,O
61520,Sentence: 2016,데,O
61521,Sentence: 2016,쟤,O
61522,Sentence: 2016,네,O
61523,Sentence: 2016,왜,O
61524,Sentence: 2016,저,O
61525,Sentence: 2016,러,O
61526,Sentence: 2016,는,O
61527,Sentence: 2016,거,O
61528,Sentence: 2016,임,O
61529,Sentence: 2016,진,O
61530,Sentence: 2016,짜,O
61531,Sentence: 2016,모,O
61532,Sentence: 2016,름,O
61533,Sentence: 2017,퐁,O
61534,Sentence: 2017,리,O
61535,Sentence: 2017,웹,O
61536,Sentence: 2017,ㅋ,O
61537,Sentence: 2017,ㅋ,O
61538,Sentence: 2017,ㅋ,O
61539,Sentence: 2017,ㅋ,O
61540,Sentence: 2017,ㅋ,O
61541,Sentence: 2017,ㅋ,O
61542,Sentence: 2017,차,O
61543,Sentence: 2017,좋,O
61544,Sentence: 2017,아,O
61545,Sentence: 2017,하,O
61546,Sentence: 2017,는,O
61547,Sentence: 2017,루,O
61548,Sentence: 2017,리,O
61549,Sentence: 2017,웹,O
61550,Sentence: 2017,답,O
61551,Sentence: 2017,닼,O
61552,Sentence: 2017,ㅋ,O
61553,Sentence: 2017,ㅋ,O
61554,Sentence: 2017,ㅋ,O
61555,Sentence: 2017,ㅋ,O
61556,Sentence: 2018,씨,B
61557,Sentence: 2018,발,I
61558,Sentence: 2018,빨,O
61559,Sentence: 2018,갱,O
61560,Sentence: 2018,이,O
61561,Sentence: 2018,대,O
61562,Sentence: 2018,학,O
61563,Sentence: 2018,살,O
61564,Sentence: 2018,이,O
61565,Sentence: 2018,필,O
61566,Sentence: 2018,요,O
61567,Sentence: 2018,한,O
61568,Sentence: 2018,시,O
61569,Sentence: 2018,점,O
61570,Sentence: 2018,이,O
61571,Sentence: 2018,다,O
61572,Sentence: 2019,좌,B
61573,Sentence: 2019,좀,I
61574,Sentence: 2019,들,O
61575,Sentence: 2019,분,O
61576,Sentence: 2019,열,O
61577,Sentence: 2019,해,O
61578,Sentence: 2019,서,O
61579,Sentence: 2019,3,O
61580,Sentence: 2019,0,O
61581,Sentence: 2019,4,O
61582,Sentence: 2019,0,O
61583,Sentence: 2019,맘,O
61584,Sentence: 2019,들,O
61585,Sentence: 2019,표,O
61586,Sentence: 2019,공,O
61587,Sentence: 2019,중,O
61588,Sentence: 2019,분,O
61589,Sentence: 2019,해,O
61590,Sentence: 2019,되,O
61591,Sentence: 2019,겠,O
61592,Sentence: 2019,노,B
61593,Sentence: 2019,ㅋ,O
61594,Sentence: 2019,ㅋ,O
61595,Sentence: 2019,ㅋ,O
61596,Sentence: 2019,ㅋ,O
61597,Sentence: 2019,ㅋ,O
61598,Sentence: 2019,갓,O
61599,Sentence: 2019,용,O
61600,Sentence: 2019,진,O
61601,Sentence: 2019,해,O
61602,Sentence: 2019,냈,O
61603,Sentence: 2019,다,O
61604,Sentence: 2020,스,B
61605,Sentence: 2020,윗,I
61606,Sentence: 2020,페,I
61607,Sentence: 2020,미,I
61608,Sentence: 2020,4,O
61609,Sentence: 2020,0,O
61610,Sentence: 2020,5,O
61611,Sentence: 2020,0,O
61612,Sentence: 2020,한,B
61613,Sentence: 2020,남,I
61614,Sentence: 2020,새,B
61615,Sentence: 2020,끼,I
61616,Sentence: 2020,들,O
61617,Sentence: 2020,왜,O
61618,Sentence: 2020,갑,O
61619,Sentence: 2020,자,O
61620,Sentence: 2020,기,O
61621,Sentence: 2020,돌,O
61622,Sentence: 2020,변,O
61623,Sentence: 2020,여,O
61624,Sentence: 2020,혐,O
61625,Sentence: 2020,하,O
61626,Sentence: 2020,는,O
61627,Sentence: 2020,거,O
61628,Sentence: 2020,야,O
61629,Sentence: 2020,ㅋ,O
61630,Sentence: 2020,ㅋ,O
61631,Sentence: 2020,ㅋ,O
61632,Sentence: 2020,ㅋ,O
61633,Sentence: 2020,ㅋ,O
61634,Sentence: 2020,ㅋ,O
61635,Sentence: 2020,ㅋ,O
61636,Sentence: 2020,ㅋ,O
61637,Sentence: 2021,저,O
61638,Sentence: 2021,미,B
61639,Sentence: 2021,친,I
61640,Sentence: 2021,새,B
61641,Sentence: 2021,끼,I
61642,Sentence: 2021,들,O
61643,Sentence: 2021,은,O
61644,Sentence: 2021,중,O
61645,Sentence: 2021,국,O
61646,Sentence: 2021,이,O
61647,Sentence: 2021,나,O
61648,Sentence: 2021,하,O
61649,Sentence: 2021,는,O
61650,Sentence: 2021,짓,O
61651,Sentence: 2021,을,O
61652,Sentence: 2021,그,O
61653,Sentence: 2021,대,O
61654,Sentence: 2021,로,O
61655,Sentence: 2021,따,O
61656,Sentence: 2021,라,O
61657,Sentence: 2021,하,O
61658,Sentence: 2021,네,O
61659,Sentence: 2021,ㅋ,O
61660,Sentence: 2021,ㅋ,O
61661,Sentence: 2021,ㅋ,O
61662,Sentence: 2021,ㅋ,O
61663,Sentence: 2021,ㅋ,O
61664,Sentence: 2021,ㅋ,O
61665,Sentence: 2021,ㅋ,O
61666,Sentence: 2022,불,O
61667,Sentence: 2022,같,O
61668,Sentence: 2022,이,O
61669,Sentence: 2022,매,O
61670,Sentence: 2022,수,O
61671,Sentence: 2022,ㅋ,O
61672,Sentence: 2022,ㅋ,O
61673,Sentence: 2023,여,O
61674,Sentence: 2023,자,O
61675,Sentence: 2023,스,O
61676,Sentence: 2023,벅,O
61677,Sentence: 2023,안,O
61678,Sentence: 2023,가,O
61679,Sentence: 2023,는,O
61680,Sentence: 2023,건,O
61681,Sentence: 2023,루,O
61682,Sentence: 2023,리,O
61683,Sentence: 2023,웹,O
61684,Sentence: 2023,반,O
61685,Sentence: 2023,일,O
61686,Sentence: 2023,하,O
61687,Sentence: 2023,면,O
61688,Sentence: 2023,서,O
61689,Sentence: 2023,닌,O
61690,Sentence: 2023,텐,O
61691,Sentence: 2023,도,O
61692,Sentence: 2023,안,O
61693,Sentence: 2023,사,O
61694,Sentence: 2023,는,O
61695,Sentence: 2023,거,O
61696,Sentence: 2023,랑,O
61697,Sentence: 2023,똑,O
61698,Sentence: 2023,같,O
61699,Sentence: 2023,지,O
61700,Sentence: 2023,그,O
61701,Sentence: 2023,저,O
61702,Sentence: 2023,불,O
61703,Sentence: 2023,가,O
61704,Sentence: 2023,능,O
61705,Sentence: 2023,ㅋ,O
61706,Sentence: 2023,ㅋ,O
61707,Sentence: 2024,진,O
61708,Sentence: 2024,보,O
61709,Sentence: 2024,대,O
61710,Sentence: 2024,학,O
61711,Sentence: 2024,생,O
61712,Sentence: 2024,들,O
61713,Sentence: 2024,이,O
61714,Sentence: 2024,불,O
61715,Sentence: 2024,매,O
61716,Sentence: 2024,아,O
61717,Sentence: 2024,무,O
61718,Sentence: 2024,리,O
61719,Sentence: 2024,외,O
61720,Sentence: 2024,쳐,O
61721,Sentence: 2024,봐,O
61722,Sentence: 2024,야,O
61723,Sentence: 2024,딸,B
61724,Sentence: 2024,년,I
61725,Sentence: 2024,들,O
61726,Sentence: 2024,가,O
61727,Sentence: 2024,는,O
61728,Sentence: 2024,거,O
61729,Sentence: 2024,못,O
61730,Sentence: 2024,막,O
61731,Sentence: 2024,음,O
61732,Sentence: 2024,스,O
61733,Sentence: 2024,벅,O
61734,Sentence: 2024,들,O
61735,Sentence: 2024,르,O
61736,Sentence: 2024,는,O
61737,Sentence: 2024,게,O
61738,Sentence: 2024,그,O
61739,Sentence: 2024,냥,O
61740,Sentence: 2024,한,B
61741,Sentence: 2024,녀,I
61742,Sentence: 2024,일,O
61743,Sentence: 2024,과,O
61744,Sentence: 2024,야,O
61745,Sentence: 2025,개,B
61746,Sentence: 2025,틀,I
61747,Sentence: 2025,딱,I
61748,Sentence: 2025,스,O
61749,Sentence: 2025,윗,O
61750,Sentence: 2025,한,B
61751,Sentence: 2025,남,I
61752,Sentence: 2025,은,O
61753,Sentence: 2025,불,O
61754,Sentence: 2025,매,O
61755,Sentence: 2025,하,O
61756,Sentence: 2025,고,O
61757,Sentence: 2025,맘,O
61758,Sentence: 2025,카,O
61759,Sentence: 2025,페,O
61760,Sentence: 2025,는,O
61761,Sentence: 2025,안,O
61762,Sentence: 2025,하,O
61763,Sentence: 2025,노,B
61764,Sentence: 2025,ㅋ,O
61765,Sentence: 2025,ㅋ,O
61766,Sentence: 2026,쫌,O
61767,Sentence: 2026,씨,B
61768,Sentence: 2026,발,I
61769,Sentence: 2026,뒤,B
61770,Sentence: 2026,져,I
61771,Sentence: 2026,라,I
61772,Sentence: 2026,4,O
61773,Sentence: 2026,0,O
61774,Sentence: 2026,5,O
61775,Sentence: 2026,0,O
61776,Sentence: 2026,틀,B
61777,Sentence: 2026,니,I
61778,Sentence: 2026,민,B
61779,Sentence: 2026,좆,I
61780,Sentence: 2026,당,I
61781,Sentence: 2026,한,B
61782,Sentence: 2026,남,I
61783,Sentence: 2026,새,B
61784,Sentence: 2026,끼,I
61785,Sentence: 2026,들,O
61786,Sentence: 2026,아,O
61787,Sentence: 2026,산,O
61788,Sentence: 2026,소,O
61789,Sentence: 2026,아,O
61790,Sentence: 2026,깝,O
61791,Sentence: 2026,다,O
61792,Sentence: 2026,ㅋ,O
61793,Sentence: 2026,ㅋ,O
61794,Sentence: 2026,ㅋ,O
61795,Sentence: 2026,ㅋ,O
61796,Sentence: 2026,ㅋ,O
61797,Sentence: 2026,ㅋ,O
61798,Sentence: 2026,ㅋ,O
61799,Sentence: 2026,ㅋ,O
61800,Sentence: 2026,ㅋ,O
61801,Sentence: 2027,아,O
61802,Sentence: 2027,따,O
61803,Sentence: 2027,그,O
61804,Sentence: 2027,러,O
61805,Sentence: 2027,시,O
61806,Sentence: 2027,것,O
61807,Sentence: 2027,제,O
61808,Sentence: 2027,잉,O
61809,Sentence: 2027,화,O
61810,Sentence: 2027,가,O
61811,Sentence: 2027,나,O
61812,Sentence: 2027,시,O
61813,Sentence: 2027,것,O
61814,Sentence: 2027,제,O
61815,Sentence: 2027,잉,O
61816,Sentence: 2027,보,B
61817,Sentence: 2027,배,I
61818,Sentence: 2027,충,I
61819,Sentence: 2027,새,B
61820,Sentence: 2027,끼,I
61821,Sentence: 2027,들,O
61822,Sentence: 2027,은,O
61823,Sentence: 2027,애,B
61824,Sentence: 2027,미,I
61825,Sentence: 2027,애,B
61826,Sentence: 2027,비,I
61827,Sentence: 2027,국,O
61828,Sentence: 2027,적,O
61829,Sentence: 2027,이,O
61830,Sentence: 2027,짱,B
61831,Sentence: 2027,깨,I
61832,Sentence: 2027,니,O
61833,Sentence: 2027,께,O
61834,Sentence: 2027,ㅋ,O
61835,Sentence: 2027,ㅋ,O
61836,Sentence: 2027,ㅋ,O
61837,Sentence: 2027,ㅋ,O
61838,Sentence: 2027,ㅋ,O
61839,Sentence: 2027,ㅋ,O
61840,Sentence: 2027,ㅋ,O
61841,Sentence: 2027,ㅋ,O
61842,Sentence: 2027,ㅋ,O
61843,Sentence: 2027,ㅋ,O
61844,Sentence: 2027,ㅋ,O
61845,Sentence: 2027,ㅋ,O
61846,Sentence: 2027,ㅋ,O
61847,Sentence: 2028,요,O
61848,Sentence: 2028,즘,O
61849,Sentence: 2028,스,O
61850,Sentence: 2028,벅,O
61851,Sentence: 2028,이,O
61852,Sentence: 2028,박,O
61853,Sentence: 2028,리,O
61854,Sentence: 2028,다,O
61855,Sentence: 2028,매,O
61856,Sentence: 2028,동,O
61857,Sentence: 2028,네,O
61858,Sentence: 2028,구,O
61859,Sentence: 2028,석,O
61860,Sentence: 2028,구,O
61861,Sentence: 2028,석,O
61862,Sentence: 2028,들,O
61863,Sentence: 2028,어,O
61864,Sentence: 2028,차,O
61865,Sentence: 2028,서,O
61866,Sentence: 2028,매,O
61867,Sentence: 2028,출,O
61868,Sentence: 2028,빨,O
61869,Sentence: 2028,아,O
61870,Sentence: 2028,먹,O
61871,Sentence: 2028,는,O
61872,Sentence: 2028,포,O
61873,Sentence: 2028,지,O
61874,Sentence: 2028,션,O
61875,Sentence: 2028,이,O
61876,Sentence: 2028,니,O
61877,Sentence: 2028,당,O
61878,Sentence: 2028,연,O
61879,Sentence: 2028,한,O
61880,Sentence: 2028,결,O
61881,Sentence: 2028,과,O
61882,Sentence: 2028,지,O
61883,Sentence: 2028,근,O
61884,Sentence: 2028,데,O
61885,Sentence: 2028,힙,O
61886,Sentence: 2028,한,O
61887,Sentence: 2028,이,O
61888,Sentence: 2028,미,O
61889,Sentence: 2028,지,O
61890,Sentence: 2028,는,O
61891,Sentence: 2028,아,O
61892,Sentence: 2028,니,O
61893,Sentence: 2028,자,O
61894,Sentence: 2028,나,O
61895,Sentence: 2028,블,O
61896,Sentence: 2028,루,O
61897,Sentence: 2028,보,O
61898,Sentence: 2028,틀,O
61899,Sentence: 2028,마,O
61900,Sentence: 2028,냥,O
61901,Sentence: 2028,신,O
61902,Sentence: 2028,선,O
61903,Sentence: 2028,한,O
61904,Sentence: 2028,그,O
61905,Sentence: 2028,런,O
61906,Sentence: 2028,걸,O
61907,Sentence: 2028,로,O
61908,Sentence: 2028,소,O
61909,Sentence: 2028,비,O
61910,Sentence: 2028,자,O
61911,Sentence: 2028,를,O
61912,Sentence: 2028,당,O
61913,Sentence: 2028,기,O
61914,Sentence: 2028,던,O
61915,Sentence: 2028,시,O
61916,Sentence: 2028,절,O
61917,Sentence: 2028,은,O
61918,Sentence: 2028,갔,O
61919,Sentence: 2028,지,O
61920,Sentence: 2028,그,O
61921,Sentence: 2028,냥,O
61922,Sentence: 2028,노,O
61923,Sentence: 2028,터,O
61924,Sentence: 2028,치,O
61925,Sentence: 2028,주,O
61926,Sentence: 2028,문,O
61927,Sentence: 2028,안,O
61928,Sentence: 2028,해,O
61929,Sentence: 2028,도,O
61930,Sentence: 2028,앉,O
61931,Sentence: 2028,아,O
61932,Sentence: 2028,있,O
61933,Sentence: 2028,을,O
61934,Sentence: 2028,수,O
61935,Sentence: 2028,있,O
61936,Sentence: 2028,고,O
61937,Sentence: 2028,별,O
