,text
0,시진핑 개새끼 해봐 ㅋㅋㅋㅋ 시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해봐 ㅋㅋㅋㅋ시진핑 개새끼 해
0,쿵쾅이들아 댓글 쓸때 ㅋㅋ좀 붙이지마 왜 쳐웃는거냐? 니 댓글이 논리적이지 못하다고 생각해서 웃는거냐? 그리고 오죽했으면이란 말좀 쓰지마라 너희들의 상상력을 이유로 갖다 붙이지좀마
0,10대 20대 남자들 싹 다 군대 안가고 30대 예비군 민방위 안해서 여자들이 북한군한테 지옥을 맛봐야 저딴 소리 안하지 ㅂㅅ년들
0,조이는 이제 연기를 때려쳐라 재능도 없어보이고 비주얼도 딸린다
0,근데 저건 ㄹㅇ 추함 ㅋㅋ 걍 기업 총수 답게 품위 지키면서 아가리 닫고 있던가 멸공 하다가 중국은 아니에요 ㅠㅠ 시발 솔직히 북한 개좆밥새끼 멸하는게 그리 큰 과제냐 냅두면 지혼자 좆되는거 ㅋㅋ 중국이 ㄹㅇ 문제지 소신 지킬거면 끝까지 지키든가 저게 뭐하는 짓거리임?
0,이세대는 뭐가잘못됐길래 여자알기를 ㅈ같이하는거임? 개웃기네
0,지랄하네 병 월급 200 이면 장교 월급은 초봉 400시작이냐? 다 장교하겠네 ㅅㅂ 
0,미혼만이면 여자 세금으로 국방비 1년 70조 감당 가능? 애초에 법인이랑 상위층이 세금 대부분을 내는데8
0,쌍판 참 천박하다 싸구려 같이 갈아엎었네
0,참지않긬ㅋㅋㅋㅋㅋㅋㅋ 계집애 종특 그대로 표현했네 ㅋㅋ 남태현 장하다 남자가 그럴수도잇지 ㅋㅋㅋ
0,무슨 복지센터 운영하고 일자리 보조해주고 하는데도 양성평등 예산이 쓰이냐고 시발련아 똑바로 하던가 짱개들이나 쓰던 수법
0,아 알겠어 알겠어 윤석열 찍으면 되는거지? 시발꺼 몇번이나 말해 알겠어
0,권태기왔다고 이혼한다면 수십번 이혼해야겠네? 남편분 넘했다. 구혜선씨 힘내세요
0,안현모 애 낳기 싫은거 간접적으로 티냄 라이머 빡침 끝... 이기적인 안현모의 태도에 실망한듯 쯧..
0,좌우 안가리고 핵심으로 쓰이는 인물보고 무능 ㅇㅈㄹ 개병신 저능아새끼 ㅋㅋㅋㅋㅋㅋ
0,근데 구하라 여자들이 욕하는거아니었나 남자들은 구하라이뻐서 무조건구하라편인데ㅋㅋㅋㅋ
0,"근데 윤석열 저새끼도 지지율 개박살나니까
이제와서 이대남 표심 잡겠다고 막던지고보는거같아서
무지성 빨아주지말고 실현가능성이 있는지 생각해보셈 "
0,"똥센징들 절라도 꼬리자르기 시전!
현실은 떵쓰울에서 이미 똥수대교, 똥풍백화점 붕괴로 씹센징 수천마리가 착해짐wwww
이래서 사람은 미국유럽일본 선진국 살아야 하는거 ㅇㅇ
똥센징들 절라도 꼬리자르기 시전!
현실은 떵쓰울에서 이미 똥수대교, 똥풍백화점 붕괴로 씹센징 수천마리가 착해짐wwww
이래서 사람은 미국유럽일본 선진국 살아야 하는거 ㅇㅇ
똥센징들 절라도 꼬리자르기 시전!
현실은 떵쓰울에서 이미 똥수대교, 똥풍백화점 붕괴로 씹센징 수천마리가 착해짐wwww
이래서 사람은 미국유럽일본 선진국 살아야 하는거 ㅇㅇ"
0,저게 보수한다고 되겠냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 입주예정자들 거품물었겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 시세 폭락 ㅅㄱ링~! 지연이자 수고링~! 손해배상 수고링~! 이주자대출 수고링~!
0,와 씨벌..
0,인기 1도 없이 SM빨로 여기저기 틀면 나오는 극혐주니어 때문에 사람들이 티비를 안보고 유튜브만 보는 듯
0,전방은 근무서는것만으로도 충분이 좆같음 
0,해외토픽 또 올라왔노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
0,연예인도 아닌 애가 좀 평범하게 살아라
0,메이커 인줄 알았는데 시발 좆병신 짱깨 수준이노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저딴식이니 층간소음도 개쩔지 시발 놈들ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
0,응 학폭레기 감성팔이 집어쳐~
0,광주는 대형마트도 못들어온다며 건설도 중소업체에서 지어야 하는거 아님? 대기업 일감 몰아주기 노무하네
0,전라도??
0,딴사람이네 얼마나고친거야 옛날얼굴이난데 가슴도 했구만모
0,"먹이사슬씹알파짐승+좆간지+노짱후광+털바퀴카운터+아침댕청미
야리부엉이 호감도 Maaaaaaaaax노"
0,한녀충이 뭐임? 어감도 안익숙한데 쓸데없이 미러링이랍시고 그러는건가? 한녀랑 충은 동어반복임 10련아. 계집들 ㅈㄹ하는거 따라하지말고 곤조있게 글싸라. ㅈ게이같은련이네 
0,요즘 건설현장 전부 짱깨들임 당연히 한국말 잘못하고 파벌만들고 한국인한테 명령하고 그럼 이런 상황에서 제대로된 건물이 만들어질꺼라 생각함?
0,저거 웃기는 녀ㄴ이네 이제와서 언플하냐 아님 머하자는 수작인지
0,진짜 이 유사국가 피싸개들 이지경까지 가게만든 4050과 보빨러새끼들 책임지자 이쯤되면 인간적으로
0,하연수가 아니라 임창정이나 김구라가 저랬어도 문제가 됬을까? 젊은 여성들 머리채 좀 그만 잡아라 한녀 살려~~~~~
0,아니씹 뭘 하면 아파트가 흘러내려 ㅋㅋㅋㅋ
0,지랄을하네
0,야이 멍청한 개돼지들아 블핑이 돈이 안되니 그나마 반응있는 제니 밀어주는거 아니냐 ㅠ 양사장이 매일 밤마다 위스키 들이키며 눈물을 흘린다는데 속좀 이해해주라 ㅋㅋㅋ
0,모든 사람이 결국 늙을거란 생각을 하니까 모질게 대하는거 보단 이해하려고 드는거지. 근데 저건 좀 소름끼침 ㅋㅋ
0,사고쳐서낳은애이면서 둘이ㅣ꼴잖내 ㅉㅉ
0,어디라고? 광주??? 끄덕끄덕
0,"몇년전 전라디언 냔 먹은적 있는데 아가리엔 똥내,아랫도리는 홍어 장난 아니더구만~~냄새 쩐다 쩌러~~항상 전라디언들은 뒤통수 조심해라"
0,영국노짱 안죽었노
0,아니 씨발ㅋㅋㅋㅋㅋ 윤석열 좆같아서 찢찍탈한다던 축리웹 이준석빠들 후보교체한다고 쌩지랄하다가 윤재앙이 여가부폐지하고 군월급 200 준다니까 또 윤석열 대통령 외치다가 홍카콜라한테 뒷통수 맞고 인지부조화 왔노ㅋㅋㅋㅋㅋ
0,응 됐고 여가부 폐지~ ㅋㅋㅋ
0,설카포sky이지랄 하길래 뭔병신인가 싶어서 안읽고 댓글부터 봤더니 역시나네ㅋㅋ 에휴 븅신아 대가리가 빡대갈이라 주작썰도 못쓰노ㅋㅋ
0,"옹졸한 새끼. 1번만 해야 쇄신이지. 홍어준표 이새끼는 그냥 꽁해있는게 너무 심해, 김종인이랑 홍준표 나이가 많아서 그런가"
0,오~~~~~스윗보빨남
0,개oooo새oooo끼가 19살? 장난하는것도아니구. 먹는 음식 가지고 장난좀 하지 말자.
0,이거 자랑하는거잖아 ㅋㅋㅋ 한녀식 기만 = 자기는 의사남편에 부잣집 시누이도 있다~ 나 이런 집안이랑 결혼한다~ 잖아 ㅋㅋㅋ 그래서 저기 밑에 네판 댓글들도 정상적인 댓 단게 기만 눈치채고 단거 아녀 ㅋㅋ
0,어우 씨발 역겨워
0,전장군님.. 천국에서도 쉬지 않고 일을 ㅠㅠ
0,남편돈으로 호의호식 ㄷㄷ 취집 잘한 케이스
0,gp gop는 ㅇㅈ. 근데 후방이나 다른곳은 진짜 하는일 좆도 없어서 갈구고 노는게 메인업무인데
0,외국뉴스 가져와서 뭐하노 저기서 살것도 아닌데
0,광우뻥때 집단발광하던 그세대나 이재명 뽑는거고ㅋㅋㅋ
0,총수님 지시에 따라 열심히 밭가는 진보대학생들 평균이잖아
0,방송 이미지는 믿을게못되. 며느리 갈굴지 어떻게아냐 김치들아
0,"｢국가재정법 시행령｣ 제9조 및 제28조의2 그리고 ｢국가회계법 시행령｣ 제5조에 바탕을 둔 성인지 예산제도의 실제 운영체계를 보면 다음과 같다.
기획재정부는 여성가족부와 협의하여 성인지 예산결산서 작성기준을 마련하고 각 기관으로 성인지 예산결산서 작성지침과 양식을 배포한다. 여성가족부 산하기관인 한국양성평등교육진흥원은 성인지 예산결산서 작성교육을 담당하고, 국무총리 산하 경제 인문사회연구회 소관 연구기관인 한국여성정책연구원 성인지예산센터는 성인지 예산결산서 작성을 지원하며, 각 부처는 여성가족부 장관과 기획재정부 장관이 협의하여 제시한 작성기준 및 방식 등에 따라 성인지 예산결산서를 작성한다. [국회예산정책처]"
0,라도아줌마는 노빠문레기들 세상이 천국이랑께
0,"기존 징용자들 보상 없이 월 200은 반대임
고로 이재명 간다"
0,와 갓새내기 매장 시킬라고 육갑들 떨고있네진짜면 벌 받아야지만 한사람 말만듣고 왜이럼?아이돌들도 일진출신 많잖아 걔네들은 전부 감싸고 일반인은 죽이려드네;너거 오빠들 부터 매장 시켜라
0,"뭐라노ㅅㅂㅋㅋㅋㅋㅋㅋ
울산이 유흥으로 제일 핫한곳아님? 시발?
생산직이 80퍼 이상인곳이라 죄다 유흥비로 탕진하는거 누가모르노?
인프라문제가 아니라 공단지대 유흥시설이나 좀 없애라 인식좆같아지는거 짜증나니까
내고향 1인당 총생산비는 큰데 아저씨 아줌마들 죄다 저런곳에 돈쳐쓰니 도시돌아가는꼴도 제대로 안돌아가고 돈은 여유있지
마땅한 소비시설은 없으니 시발"
0,어디가 청순?! 하도 고쳐서 얼굴이 인위적 그 자체구만! ㅋㅋㅋㅋ
0,39.7 이새끼는 병신인가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 너는 그럼 한국을 뜨세요~~ 너같은 새끼까지 지켜줄라고 애쓴는 군인들 ㄹㅇ 불쌍해지니깐
0,여자 아이돌이 뜰 생각은 안하고 연애부터 ㅉㅉ
0,이나라는 ㄹㅇ 씹팔육 개틀딱새끼들이망침ㅇㅇ 산업화시대역군 지랄하지마라 그저 대통령잘뒀다도르 젊을땐 민주화운동인척하면서 여대생 돌림빵 난교파티하고 늙어서도 젊은년한태좆껄떡거리는 원숭이새끼들이니
0,"갈수록 듣보들만 자꾸 나오네 섭외력이 떨어졌나? 이럴거면 박근혜, 이명박도 출연시켜서 가왕되라고 해라"
0,사람사는데 무너졌으면 시발 건설사 문닫는건데 ㅋㅋ
0,"근데 주진모,장동건,현빈,송승헌 정도의 얼굴과 재력이면..여자들이 먼저 알아서 팬티 내릴걸.."
0,ㅅㅂ 이래서 안철수 뽑아야 한다니까 저새끼랑 이재명이랑 세금으로 돈 퍼주겠다는거 뭐가 다름
0,개조선 지진한번 크게나면 볼만하겠노 ㅋㅋㅋㅋ
0,그리고 200씩 주면 엠생 인생들은 많이 남아서 병력자원 문제도 해결 취업난도 해결 딱 좋네
0,공놀이나 쳐하는게 뭐 벼슬이라고 ㅋㅋ 김치남 한남들 못생겼으니깐 즈그들끼리 빨아대는거보소 ㅋㅋㅋㅋ
0,검사 여친에서 현실감 뚝떨어짐 씨발
0,조인성 연기 ㅈㄴ 못함 ㅇㅈ??
0,전라도는 정말 씨빨쓰넙나운
0,한남충보단 백배는 낫네ㅋㅋㅋㅋ
0,여가부가 주도해서 분열내는데 중재를 어캐하노 ㄹㅇㅋㅋ
0,얼마나 거지같은 티비로 보면 다들 안들린다는 투정 뿐이야.. 좋은거 하나 사라 거지들아
0,스윗한남 진보대학병신들 ㅋㅋ
0,"게이야..둘이 뜨면 좆자 개쳐맞는다...
체급이 다름"
0,이름을 왜 저따구로 지어서 난리노
0,씨발 ㅋㅋㅋㅋ 여가부 예산이 1조나 됬어???ㅋㅋㅋㅋㅋㅋㅋ
0,잠재적 범죄자들 가해자한테 감정이입하는거 보소 ㅋㅋ
0,성인지 예산 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
0,"보도블럭에 면상 갈아버리고 싶으니깐 꺼져
애미가 늙은창년새끼야 ㅋㅋㅋㅋ"
0,밭갈이 새끼들은 아가리 다물고 세금내줘
0,이상화 광대 보소 얼면적도 강남보다 넓네 감출려고 비스듬하게 찍어도 다 티나네 곧 이혼할듯
0,"어쩔수없음 돈이 없는 현실적인 문제라서 도덕적으로 줘야하는게 맞지만 못하는거니까 오히려 밥이라도 잘 처나오고 대우라도 잘해줘야하는데 강제성과 돈못받는 애국심땜에 최전방 고기방패하는 애들한테 못배운 새끼들이 ""응 군대 지금 편해~~ 폰만져~~"" 그지랄하니 ㅋㅋ"
0,차라리 모병제가 낫지 쓸모없는 폐급병신들도 거르고 ㅇㅇ
0,여가부 원툴은 씨발 전술핵 재배치 반대하는 윤석열 보단 홍준표지
0,결론은 빠순이들이 문제라는거 아냐
0,김수민 대세 인증이네 ㅎㅎ 그리고 여적여는 만고의 진리
0,올해 말 입주긴함 
0,군대나 다녀왔나 ㅡ떠가리는 좋으면서
0,쓰레기 쥐새끼와 닭년도 대통령하는 마당에 윤서빈이 어때서?ㅉ
0,신화 질투쟁이들 쿵쾅쿵쾅 다 몰려왔나요? 지네 남편 애들 뒤로하구?
0,ㅈ승민은 왜쳐나오노 ㅋㅋㅋ
0,거지새끼들 리뷰이벤트 참여해서 받아먹을건 다 받아먹고 리뷰안쓰는새끼들 천지임 ㅋㅋ 근데 웃기는건 먹튀해도 어떻게 할 방법이 없음 사장입장에서 ㅋㅋ
0,왜저래 진짜??? 토쏠려
0,그니까 저런 쓰레기 문자 쓰는 병신세대들이 거북유방단~ 이지랄한다는거지? ㅋㅋㅋ 한줌단 새끼들
0,"무도는 팬들한테 미안하지도 않은건가... 더럽게 재미없네...그동안 받은 성원에 똥칠 그만하고, 그만 폐지했으면 좋겠다 ㅉㅉㅉㅉㅉㅉ"
0,저것이 찐뽀대학생?
0,노잼 지들 인생살이 이야기 들어야하나
0,경선땐 유승민이 젤 좆같았는데 지금 보니까 패배하고 완전히 사라져버린 유승민이 훨 나아보임
0,차주 운도 없노 ㅋㅋ
0,상식적으로 생가해봐 조재현 처럼 잘생긴 배우가 뭐가 아쉬워 성폭행 하냐? 뇌가 있냐 꼴페미년들아 한 남들은 전부 못생겻다며? 그럼 잘생긴 조재현은 떠 받들어 줘야 정상이지
0,김상교 성추행범아 술쳐먹고 그러면안돼
0,양도세가 100%면 증여하고 팔겠지. 저런 장애인같은 발상은 누가하는지 모르겠음. 무조건 증여보다는 양도세가 낮아해. 그렇게 안하면 아무 효용이 없어
0,"작가 애도 성상납 했나, 어디서 주워 듣고 다 아는것 처름 애기하네, 푼수"
0,광주니까 지들끼리 누가누가 뒷주머니 더챙기나해서 날림으로 했겠지뭐
0,"결국 성인지 예산에 35조 쓴다는걸 왜 어렵게 말하냐;
부서에 배정된 금액은 1조 2천억인데 성인지 예산으로 세금 사용 권한은 35조란거잖아;
1조 정도로 알고있었는데 결국 35조를 여가부에서 사용한거구만"
0,다음부터 다른사람인척 하려면 닉만 바꾸지 말고 ip도 같이 바꿔라 부모 늙어뒤진 틀딱새끼야
0,.. 왜 이대녀 페미 피싸개들이 느개비 거리는지 어느정도 알거같다.. .. 왜 이대녀 페미 피싸개들이 느개비 거리는지 어느정도 알거같다.. .. 왜 이대녀 페미 피싸개들이 느개비 거리는지 어느정도 알거같다.. .. 왜 이대녀 페미 피싸개들이 느개비 거리는지 어느정도 알거같다.. .. 왜 이대녀 페미 피싸개들이 느개비 거리는지 어느정도 알거같다.. .. 왜 이대녀 페미 피싸개들이 느개비 거리는지 어느정도 알거같다.. .. 왜 이대녀 페미 피싸개들이 느개비 거리는지 어느정도 알거같다.. 
0,관할부처가 여성부가 아닐뿐이지 
0,우리 어머니 세대의 경우 남자들이 병신이라 술값으로 번거 90퍼 다 쓰고 그랬음 거기까지면 평타지 보증서서 좆망하는 경우도 허다해서 마누라들이 허리띠 졸라메고 이 악물고 돈 모았지만 지금 현실에는 맞지 않으니 저런 풍습도 끝났다고 본다
0,와 씨 비위좋네ㅋ
0,"지진 날 필요도 없음
똥쓰울 똥수대교, 똥풍백화점은 지진없이도 스스로 붕괴함 개씹센들 클라쓰"
0,중공 국회에 의석 한자리도 없는 좆선족들이 왤케 뿔났노ㅋㅋㅋ
0,저 동네는 어떤 동네임?
0,근대 이와중에 박나래 못생긴건알았지만 진짜 너무 ㅈㄱㅇ 생겼다 재는 티비에 안나오길 눈썩는다는걸 진심 느낌ㅜ 진심으로여 이건 악플아니예여 내주변 남자들 다박나래 이국주 나옴. 채널돌림
0,출산정책 35조 출처는 어디로 굴러간지 말도안하더라 보지새끼들 말잘난 좆됨 ㅋㅋ. 전부다 여성단체 지원금으로 직행했지 어디긴 어디야 시발련들아
0,찢갈이들은 지난보궐때 20대 오세훈 72%보고 개지랄하더니 왜다시 기어들어와서 선동질쳐함? 가서 조선족이랑 놀아라
0,요즘 드라마 특징 아줌마 용 포.르노
0,흥국아 오래 살았다 아이가
0,'팡주'
0,ㄴ 이 병신 새끼는 월급의 의미를 모름? 1년에 1달밖에 없어?
0,결국 조단위 예산을 여성 정책에만 쓰는 건 팩트노 ㅋㅋㅋㅋㅋ 심지어 눈 먼 돈이라서 훔쳐먹는 용도로도 쓰노 ㅋㅋㅋㅋㅋㅋㅋㅋ
0,차이나 여자를 왜 한국 연예기사에 자꾸 내냐!! 기자들 제정신이냐!! 기사거리 없으면 잠이나 자세요
0,사랑이 아니고 집안 비교? 이것이 한녀식 사랑?
0,"참고로 자위대 궐기 어쩌구하면서 지랄하고 할복하다가 아프다고 울어대던 극우 작가 미시마 유키오 이새끼도

군대 빼버리고 귀족집에 태어나 생긴것도 여리하고 운동신경 좆도 없어서 컴플렉스로 근육 키우고 극우조직 만들어서 군복 입히고 군인놀이로 컴플렉스 해결했다던데



입으로 멸공 애국 외치면서 군대 면제받고 중국한테 설설기는 정용진이랑 겹쳐보이네 ㅋㅋㅋ"
0,5조5억만 써도 좆같은데 뭔 개씹소리냐 피싸개들아 ㅋㅋㅋㅋㅋㅋㅋㅋ
0,집 멀쩡해보이는데 왜 철거하는거야? 저번에 철거하던건 오래된 아파트더만
0,왜 이제야 나오셨어요? 보는 내내 불편함에 언제 끝나나 기다리며 봤네. 루머처럼 쇼윈도우 부부의 전형적인 모습에 피디의 능력을 의심까지하게...조기하차 희망합니다!
0,궁금한게있는데 왜 저런 S라인들은 전부 배꼽이 세로냐?
0,미나 연기좀 어떻게 해라....쯧쯔
0,걸그룹 어설픈애들보다 더 이쁘네 ㄷㄷ
0,눈이 /\처럼 생긴 건 도대체 어떻게 생긴거냐?
0,멸공이라는 단어가 그렇게 불편하세요 ???? 이 좌빨 씨뻘갱이 공산당원새끼들아 ?????????? ㅋㅋㅋㅋ 응 정권교체 드가자 ~~~~~~~~~~~~~~
0,공인 이란것들이 나와서는 졸 청념한척 하면서이혼은 오지게 잘해요..이러니 조상들이 피눈물을 흘리지
0,공익갔다온 몸병신새끼일듯
0,이명박근혜탓할걸 저동네는
0,스윗 ㅈ팔육 틀딱들 ㅋㄱㅋㅋ 
0,경쟁은 옆에서 페미하는 니 여자동기들이랑 하시고 개버러지 보빨충새끼야
0,문자 저렇게 보내는 2030찾아내면 1억준다이기 ㅋㅋ
0,에휴 씨발 40 50 60 개틀딱병신들
0,글쓴이새기는 빠가인거 인증하는거냐?
0,119도 병신인데 일루미나티는 ㄹㅇ 병신이노 
0,다친사람은 없었으면.. 
0,병신새끼 발정나서 지랄떠네 스윗좆팔륙새끼
0,아하! 다른 선진국들은 예산 아낄 줄 모르는 개병신새끼들이라 계속 전체 국가 예산 증가 추세에 있구나! 그걸 몰랐네! 미국 좆병신새끼들 돈아까운 줄 모르고 예산 계속 끌어다쓰노?ㅋㅋㅋㅋㅋㅌ
0,"주차시설이나 교통 개좆같은곳 인천,부산,울산"
0,스윗 찢팔육 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
0,마스크걸고 밥쳐먹는ㅅ끼..
0,선거후 이준석이랑 갈지 안갈지로 갈리지 않을까 
0,ㄹㅇㅋㅋㅋㅋㅋㅋㅋㅋ병신 씹센징새끼들 클라쓰
0,흉노국 통구이
0,고인팔이? 와 진짜 세상에 지능 이상한 애들이 많구나 ㅋㅋㅋ
0,응~ 병신같은 성인지교육 의무화시킨다고 성인지예산 35조된 계기가 여가부년들 지랄이야~
0,자유지ㅇㅇ남자는 꼭지보이는거 상관없고 여자는 보이면 안되는거임? 과하다는건 쿵쾅들이 그러는거겠지
0,머리가 크네요
0,숫자 쓰는거 개열받게 쓰노 ㅋㅋ
